YB,l,b,---,HIGALBM,[CUS2014],CORNISH,CType,RMS,RType,WISE,WType
1153,30.00332363,-0.265867336,HIGALBM,30.0033-0.2654,G030.0027-0.2643,                 ,               ,0,                    ,G030.003-00.267,C
1154,30.02330139,-0.042858856,HIGALBM,30.0254-0.0389,                ,                 ,               ,3110,Diffuse HII region  ,G030.022-00.042,K
1155,30.02425346,0.1085479,HIGALBM,30.0230+0.1088,G030.0209+0.1048,                 ,               ,3092,Diffuse HII region  ,G030.026+00.109,K
1156,30.03251489,0.107908234,HIGALBM,30.0323+0.1082,                ,                 ,               ,0,                    ,               , 
1157,30.05582795,-0.339032341,       ,              ,                ,                 ,               ,0,                    ,G030.055-00.339,C
1158,30.06701456,0.097636709,HIGALBM,30.0650+0.0991,                ,                 ,               ,0,                    ,G030.067+00.097,Q
1159,30.09548025,0.044085361,HIGALBM,30.0958+0.0440,                ,                 ,               ,0,                    ,G030.090+00.044,Q
1160,30.1139104,-0.564677164,       ,              ,                ,                 ,               ,0,                    ,               , 
1161,30.13198181,-0.65869003,HIGALBM,30.1324-0.6578,                ,                 ,               ,0,                    ,               , 
1162,30.19711165,0.308532956,HIGALBM,30.1971+0.3101,G030.1963+0.3107,                 ,               ,0,                    ,G030.197+00.309,C
1163,30.20523749,0.327453206,HIGALBM,30.2069+0.3265,                ,                 ,               ,0,                    ,G030.205+00.327,Q
1164,30.21092567,0.480734526,       ,              ,                ,                 ,               ,0,                    ,G030.210+00.483,Q
1165,30.21180647,0.42934506,HIGALBM,30.2115+0.4293,                ,                 ,               ,0,                    ,G030.211+00.428,K
1166,30.21919014,-0.178560734,HIGALBM,30.2243-0.1800,G030.2233-0.1791,                 ,               ,0,                    ,G030.219-00.179,G
1167,30.23647826,0.120797399,       ,              ,                ,                 ,               ,0,                    ,G030.236+00.120,Q
1168,30.24761733,0.245540091,HIGALBM,30.2466+0.2457,G030.2451+0.2463,                 ,               ,3090,Diffuse HII region  ,G030.249+00.243,K
1169,30.2535626,0.053414926,HIGALBM,30.2530+0.0540,G030.2509+0.0533,G030.2527+00.0540,UCHII          ,3113,HII region          ,G030.252+00.053,K
1170,30.29690094,0.05517779,HIGALBM,30.2960+0.0556,G030.2941+0.0559,                 ,               ,3117,HII region          ,G030.296+00.054,C
1171,30.30939076,-0.213456599,       ,              ,                ,                 ,               ,3133,Diffuse HII region? ,G030.311-00.215,K
1172,30.34357999,0.37981001,HIGALBM,30.3476+0.3781,                ,                 ,               ,0,                    ,G030.339+00.381,Q
1173,30.34931411,0.090317762,HIGALBM,30.3505+0.0913,G030.3510+0.0861,                 ,               ,0,                    ,G030.348+00.090,K
1174,30.3516521,0.517107514,HIGALBM,30.3519+0.5181,G030.3506+0.5192,                 ,               ,0,                    ,G030.352+00.516,Q
1175,30.35686412,0.487160492,HIGALBM,30.3572+0.4874,                ,                 ,               ,0,                    ,               , 
1176,30.36907847,-0.818943539,       ,              ,                ,                 ,               ,0,                    ,               , 
1177,30.37806228,0.108885584,HIGALBM,30.3794+0.1072,                ,                 ,               ,3116,Diffuse HII region  ,G030.377+00.106,K
1178,30.3817685,-0.109389568,HIGALBM,30.3863-0.1052,G030.3862-0.1045,                 ,               ,3128,HII region          ,G030.380-00.110,K
1179,30.38882461,-0.792043361,       ,              ,                ,                 ,               ,0,                    ,G030.390-00.790,Q
1180,30.4109002,-0.227350931,       ,              ,G030.4145-0.2225,                 ,               ,3158,YSO                 ,G030.410-00.228,G
1181,30.41868587,0.470578054,       ,              ,                ,                 ,               ,0,                    ,G030.418+00.470,Q
1182,30.42232356,0.466875412,HIGALBM,30.4230+0.4666,G030.4225+0.4662,                 ,               ,0,                    ,               , 
1183,30.42470835,0.462784381,       ,              ,                ,                 ,               ,0,                    ,G030.425+00.463,C
1184,30.47108755,0.222069867,       ,              ,                ,                 ,               ,0,                    ,G030.471+00.222,Q
1185,30.48932246,-0.358388392,       ,              ,                ,                 ,               ,0,                    ,G030.489-00.364,Q
1186,30.495467,0.622822926,HIGALBM,30.4948+0.6230,                ,                 ,               ,0,                    ,G030.497+00.622,Q
1187,30.50619557,-0.197941392,HIGALBM,30.5063-0.1982,                ,                 ,               ,0,                    ,G030.507-00.198,Q
