YB,l,b,Vel,Dist,e_Dist
1153,30.00332363,-0.265867336,103,7.43,0.61
1154,30.02330139,-0.042858856,93.4,6.7,1.49
1155,30.02425346,0.1085479,106.4,7.32,0.62
1156,30.03251489,0.107908234,106.4,7.31,0.62
1157,30.05582795,-0.339032341,70.9,4.32,0.28
1158,30.06701456,0.097636709,96.6,6,0.96
1159,30.09548025,0.044085361,105.3,7.32,0.63
1160,30.1139104,-0.564677164,101.9,6.36,1.53
1161,30.13198181,-0.65869003,80,4.48,0.28
1162,30.19711165,0.308532956,8,13.5,0.35
1163,30.20523749,0.327453206,70,4.32,0.3
1164,30.21092567,0.480734526,104.6,6.77,0.78
1165,30.21180647,0.42934506,70.2,4.31,0.3
1166,30.21919014,-0.178560734,104,7.32,0.63
1167,30.23647826,0.120797399,87.2,4.81,0.37
1168,30.24761733,0.245540091,84.5,4.72,0.35
1169,30.2535626,0.053414926,70.7,4.33,0.29
1170,30.29690094,0.05517779,108.5,7.23,0.58
1171,30.30939076,-0.213456599,103.8,7.27,0.65
1172,30.34357999,0.37981001,93.2,6.16,1.45
1173,30.34931411,0.090317762,96.2,7.12,1.24
1174,30.3516521,0.517107514,16,13.28,0.25
1175,30.35686412,0.487160492,92.8,5.05,0.49
1176,30.36907847,-0.818943539,78.1,4.41,0.27
1177,30.37806228,0.108885584,110.8,7.19,0.58
1178,30.3817685,-0.109389568,87,4.79,0.37
1179,30.38882461,-0.792043361,77.9,4.41,0.27
1180,30.4109002,-0.227350931,104,7.23,0.66
1181,30.41868587,0.470578054,44.7,2.58,0.61
1182,30.42232356,0.466875412,44.7,2.58,0.61
1183,30.42470835,0.462784381,44.7,2.57,0.61
1184,30.47108755,0.222069867,74.9,4.44,0.3
1185,30.48932246,-0.358388392,12,1.92,0.3
1186,30.495467,0.622822926,88.1,4.84,0.38
1187,30.50619557,-0.197941392,89.8,4.89,0.42
1188,30.53365104,0.021202716,40.3,11.52,0.28
1189,30.60464453,0.453557887,85.8,4.79,0.36
1190,30.61141222,0.452299302,0,0,0
1191,30.62473263,0.168861379,105.9,7.01,0.68
1192,30.64117783,-0.115444154,114.2,7.19,0.63
1193,30.64396434,-1.037178767,0,0,0
1194,30.65607142,0.227468557,101.3,6.77,0.86
1195,30.69317741,0.227975923,82.6,4.69,0.34
1196,30.69395936,-0.365621905,53.9,11.13,0.27
1197,30.71001899,-0.559165083,96.4,6.57,1.43
1198,30.74592577,-0.801156948,100.6,5.97,1.05
1199,30.75642948,0.202127263,98.1,6.39,0.83
1200,30.75961919,-0.056233735,94,6.42,1.81
1201,30.7597833,0.205218458,97.9,6.03,0.21
1202,30.76429261,-0.034349221,94.5,5.67,0.88
1203,30.76782475,-0.590787689,72.2,4.31,0.27
1204,30.77992592,0.229478155,97.9,6.48,1.03
1205,30.8389551,0.113303479,73,4.4,0.3
1206,30.84737568,0.153623379,95.7,6.58,1.13
1207,30.85635314,-0.510215538,72.6,4.33,0.27
1208,30.86651443,0.113880105,39.6,2.06,0.09
1209,30.87565129,-0.347544952,110,7.09,0.63
1210,30.87703524,0.05841855,94.5,6.38,1.16
1211,30.88205512,-0.235365791,110.6,7.11,0.6
1212,30.88206077,0.073828416,74.7,4.45,0.3
1213,30.90718884,0.1595651,106.4,6.92,0.65
1214,30.92285194,0.273848557,35.8,2.05,0.08
1215,30.95810022,0.086612293,39.6,2.06,0.09
