YB,l,b,Dist,e_Dist,HDist,f_HDist,Mass,e_Mass,Lum,e_Lum,Diam,e_Diam,Ratio,e_Ratio,Tgray,e_Tgray,Lratio,e_Lratio,TBol,e_TBol,SDen,e_SDen
1153,30.0033,-0.2659,7.43,0.61,8.187,B,1726.85,327.18,8055.78,1322.75,0.49,0.04,4.67,1.17,15.59,0.24,59.87,11.97,45.59,9.12,1.886,0.357
1154,30.0233,-0.0429,6.7,1.49,8.976,B,110.71,120.19,11118.11,5422.01,0.51,0.11,100.42,119.52,36.44,3.56,236.91,47.38,42.53,8.51,0.112,0.122
1155,30.0243,0.1085,7.32,0.62,7.84,B,916.74,202.75,12669.02,2146.12,0.65,0.06,13.82,3.85,17.08,0.66,139.1,27.82,60.22,12.04,0.584,0.129
1156,30.0325,0.1079,7.31,0.62,7.829,B,1010.23,326.74,6279.24,1065.15,0.66,0.06,6.22,2.27,16.18,0.96,70.86,14.17,53.33,10.67,0.616,0.199
1158,30.067,0.0976,6,0.96,1,N,261.36,85.26,2995.92,958.69,0.4,0.06,11.46,5.24,18.62,0.34,95.11,19.02,44.64,8.93,0.443,0.145
1159,30.0955,0.0441,7.32,0.63,7.923,B,714.58,174.29,2504.42,431.09,0.63,0.05,3.5,1.05,14.34,0.48,53.44,10.69,49.33,9.87,0.485,0.118
1161,30.132,-0.6587,4.48,0.28,4.963,G,116.99,114.08,461.02,108.73,0.61,0.04,3.94,3.95,16,0.72,45.65,9.13,40.26,8.05,0.083,0.081
1162,30.1971,0.3085,13.5,0.35,14.156,B,2034.84,114.1,20209.16,1047.88,0.71,0.02,9.93,0.76,19.22,0.19,78.23,15.65,47.19,9.44,1.083,0.061
1163,30.2052,0.3275,4.32,0.3,10.287,B,49.81,49.91,852.42,207.56,0.61,0.04,17.11,17.65,20.45,1.27,115.53,23.11,44.96,8.99,0.036,0.036
1165,30.2118,0.4293,4.31,0.3,10.268,B,47,47.04,2997.91,730.53,0.31,0.02,63.79,65.72,25.2,0.72,290.07,58.01,49.91,9.98,0.127,0.127
1166,30.2192,-0.1786,7.32,0.63,6.748,G,548.93,111.75,21468.09,3695.33,0.26,0.02,39.11,10.43,26.33,0.78,172.44,34.49,47.13,9.43,2.117,0.431
1168,30.2476,0.2455,4.72,0.35,9.445,B,282.4,282.43,3257.79,811.15,0.54,0.04,11.54,11.89,18.63,0.22,94.25,18.85,49.28,9.86,0.258,0.258
1169,30.2536,0.0534,4.33,0.29,10.203,B,227.61,36.01,10040.78,1344.95,0.28,0.02,44.11,9.14,23.49,0.66,231.72,46.34,51.97,10.39,0.802,0.127
1170,30.2969,0.0552,7.23,0.58,8.8,B,874.52,157.14,25231.35,4048.18,0.36,0.03,28.85,6.95,23.48,0.42,155.26,31.05,51.79,10.36,1.754,0.315
1172,30.3436,0.3798,6.16,1.45,8.898,B,69.1,75.89,1264.97,647.03,0.35,0.08,18.31,22.18,21.09,2.9,114.57,22.91,43.3,8.66,0.149,0.164
1173,30.3493,0.0903,7.12,1.24,8.712,B,2932.55,1377.38,12648.99,4405.83,1.01,0.18,4.31,2.52,13.75,0.85,73.8,14.76,54.86,10.97,0.763,0.358
1174,30.3517,0.5171,13.28,0.25,13.484,B,876.42,106.96,6647.06,250.27,0.52,0.01,7.58,0.97,17.9,0.42,69.2,13.84,44.54,8.91,0.866,0.106
1175,30.3569,0.4872,5.05,0.49,13.434,B,207.77,53.94,385.98,74.9,0.25,0.02,1.86,0.6,13.93,0.3,30.8,6.16,42,8.4,0.866,0.225
1177,30.3781,0.1089,7.19,0.58,0,N,231.08,79.58,10920.28,1761.83,0.75,0.06,47.26,17.97,26.17,1.93,200.23,40.05,49.55,9.91,0.11,0.038
1178,30.3818,-0.1094,4.79,0.37,9.304,B,1041.4,161.97,11728.59,1811.93,0.4,0.03,11.26,2.47,19.34,0.2,88.84,17.77,45.71,9.14,1.712,0.266
1182,30.4223,0.4669,11.95,0.7,13.509,G,1943.18,343.07,18708.71,2191.82,0.88,0.05,9.63,2.04,19.39,0.66,73.7,14.74,41.96,8.39,0.674,0.119
1186,30.4955,0.6228,4.84,0.38,9.217,B,43.41,43.5,369.88,94.05,0.58,0.05,8.52,8.81,17.19,0.6,83.58,16.72,46.95,9.39,0.035,0.035
1187,30.5062,-0.1979,4.89,0.42,8.889,B,223.6,224.5,4520,1191.67,0.7,0.06,20.21,20.98,20.99,1.03,129.78,25.96,45.92,9.18,0.123,0.123
1188,30.5337,0.0212,11.52,0.28,11.853,G,2466.3,206.87,212310.82,10320.66,0.86,0.02,86.08,8.35,28.4,0.78,322.77,64.55,59.58,11.92,0.879,0.074
