YB,l,b,F8,stdF8,F12,stdF12,F24,stdF24,F70,e_F70,Fit
1153,30.00332363,-0.265867336,0.28,0.23,0.05,0.29,0.15,0.13,64.85,4.1,1
1154,30.02330139,-0.042858856,15.68,0.22,7.68,0.29,0,0,327.27,19.97,0
1155,30.02425346,0.1085479,1.36,0.29,0.67,0.13,2.96,0.11,64.34,6.5,0
1156,30.03251489,0.107908234,0.75,0.15,0.16,0.25,1.09,0.18,46.17,1.72,0
1157,30.05582795,-0.339032341,0.1,0.63,0.12,0.2,1.54,0.58,0,0,1
1158,30.06701456,0.097636709,1.01,0.59,0.64,0.15,1.15,0.36,0,0,0
1159,30.09548025,0.044085361,0.39,0.18,0.09,0.26,0.38,0.27,19.22,0.52,0
1160,30.1139104,-0.564677164,5,0.02,1.46,0.31,2.6,0.25,0,0,0
1161,30.13198181,-0.65869003,0.12,0.18,0.04,0.57,0.06,0.45,4.67,0.09,1
1162,30.19711165,0.308532956,0.38,0.02,0.1,0.21,1.3,0.33,42.32,2.62,0
1163,30.20523749,0.327453206,0.13,0.55,0.09,0.35,0.13,0.58,11.77,0.99,0
1164,30.21092567,0.480734526,0.47,0.2,0.19,0.1,0.19,0.32,0,0,1
1165,30.21180647,0.42934506,0.78,0.14,0.4,0.13,1.58,0.19,78.03,2.99,1
1166,30.21919014,-0.178560734,2.16,0.55,2.13,0.17,3.85,1.03,125.15,4.44,0
1167,30.23647826,0.120797399,0.05,0.96,0.09,0.12,0.2,0.12,0,0,0
1168,30.24761733,0.245540091,0.53,0.59,0.49,0.24,2.67,0.37,60.37,4.49,0
1169,30.2535626,0.053414926,1.19,0.51,0.81,0.24,0,0,229.93,7.9,0
1170,30.29690094,0.05517779,1.35,0.14,0.78,0.1,0,0,187.48,7.64,0
1171,30.30939076,-0.213456599,0.27,0.09,0.49,0.35,2.91,0.43,0,0,0
1172,30.34357999,0.37981001,0.84,0.12,0.58,0.33,0.76,0.18,11.8,0,0
1173,30.34931411,0.090317762,3.15,0.18,0.73,0.86,5.43,0.21,114.73,8.01,0
1174,30.3516521,0.517107514,0.16,0.14,0.05,0.21,0.14,0.2,14.47,0.48,0
1175,30.35686412,0.487160492,0.1,0.05,0.03,0.24,0.05,0.14,5.03,0.18,0
1176,30.36907847,-0.818943539,0.09,0.2,0.03,0.17,0.06,0.21,0,0,0
1177,30.37806228,0.108885584,3.21,0.19,1.35,0.24,6.7,0.14,0,0,0
1178,30.3817685,-0.109389568,14.94,0.2,6.59,0.11,0,0,205.49,30.11,0
1179,30.38882461,-0.792043361,0.36,0.14,0.22,0.24,0.14,0.07,0,0,0
1180,30.4109002,-0.227350931,3.32,0.04,0.9,0.44,0,0,0,0,0
1181,30.41868587,0.470578054,0.1,0.56,0.02,0.31,0.06,0.11,48.21,3.75,0
1182,30.42232356,0.466875412,0.21,0.16,0.03,0.46,0.29,0.36,48.21,3.75,0
1183,30.42470835,0.462784381,0.46,0.02,0.1,0.24,1.69,0.24,48.21,3.75,0
1184,30.47108755,0.222069867,0.1,0.07,0.13,0.14,2.46,0.03,0,0,0
1185,30.48932246,-0.358388392,0.7,0.04,0.3,0.01,5.85,0.14,0,0,0
1186,30.495467,0.622822926,0.07,1.4,0.1,0.1,0.08,0.72,4.23,0.14,0
1187,30.50619557,-0.197941392,2.17,0.37,0.34,1.1,1,0.35,80.88,2.23,0
1188,30.53365104,0.021202716,4.27,0.57,3.4,0.18,0,0,631.69,29.18,0
1189,30.60464453,0.453557887,0.03,0.06,0,0.66,0.01,0.11,0,0,1
1190,30.61141222,0.452299302,0.04,0.16,0.01,0.66,0.01,0.98,2.7,0.11,1
1191,30.62473263,0.168861379,0.2,0.12,0.04,0.8,0.2,0.08,32.97,1.33,0
1192,30.64117783,-0.115444154,1.46,0.05,0.5,0.22,2.05,0.2,0,0,1
1194,30.65607142,0.227468557,0.31,0.21,0.14,0.88,0.45,0.19,0,0,0
1195,30.69317741,0.227975923,0.1,0.09,0.01,0.86,0.12,0.04,15.48,0.99,1
1196,30.69395936,-0.365621905,0.4,0.34,0.21,0.14,0.38,0.33,0,0,0
1197,30.71001899,-0.559165083,4.18,0.01,1.53,0.17,1.35,0.19,2.47,0.13,0
1198,30.74592577,-0.801156948,0.15,0.13,0.02,0.04,0.09,0.14,5.81,0.27,0
1199,30.75642948,0.202127263,0.25,0.16,0.02,0.18,0.39,0.18,387.41,16.49,0
1200,30.75961919,-0.056233735,0,0,0,0,0,0,0,0,0
1201,30.7597833,0.205218458,3.94,0.08,1.27,0.07,5.43,0.71,387.41,16.49,1
1202,30.76429261,-0.034349221,0,0,0,0,0,0,188.09,35.69,0
1203,30.76782475,-0.590787689,0.15,0.38,0.08,0.08,2,0.19,0,0,0
1204,30.77992592,0.229478155,0.16,0.09,0.05,0.19,0.29,0.18,37.12,1.43,0
1205,30.8389551,0.113303479,0.16,0.18,0.24,0.04,1.15,0.19,0,0,1
1206,30.84737568,0.153623379,0.11,0.07,0.05,0.2,0.21,0.28,0,0,0
1207,30.85635314,-0.510215538,0.04,0.09,0.01,0.13,0.02,0.13,2.2,0.1,0
1208,30.86651443,0.113880105,4.25,0.09,3.03,0.23,0,0,1102.88,48.74,0
1209,30.87565129,-0.347544952,0.3,0.27,0.11,0.11,0.16,0.09,0,0,0
1210,30.87703524,0.05841855,0.92,0.01,0.29,0.08,0,0,61.14,3.2,0
1211,30.88205512,-0.235365791,1.48,0.27,0.31,0.13,0.97,0.14,0,0,0
1212,30.88206077,0.073828416,0.84,0.04,0.91,0.24,0,0,0,0,0
1213,30.90718884,0.1595651,0.08,0.3,0.21,0.62,1.26,0.66,0,0,0
1214,30.92285194,0.273848557,0.2,0.6,0.23,0.4,2.67,0.27,0,0,0
1215,30.95810022,0.086612293,2.3,0.01,0.95,0.14,0,0,267.54,8.84,0
1216,30.95892631,0.600970713,0.31,0.25,0.17,0.82,0.82,1.77,0,0,0
1217,30.97248474,0.561558276,0.63,0.11,0.41,0.24,2.27,0.31,54.4,2.58,0
1218,30.99697592,-0.075862584,0.81,0.36,0.95,0.14,0,0,90.31,5.43,0
1219,31.03331145,0.466844554,0.36,0.04,0.2,0.3,0.84,0.18,13.78,0.46,0
1220,31.04781433,0.355024927,3.62,0.11,1.15,0.38,5.48,0.15,216.41,5.98,1
1221,31.04929695,0.4700916,0.37,0.18,0.19,0.11,2.62,0.34,12.35,0.92,0
1222,31.05952971,0.092260837,0.42,0.19,0.19,0.17,2.34,0.29,0,0,0
1223,31.07007295,0.049951189,4.3,0.21,1.74,0.27,0,0,132.77,6.39,0
1224,31.12179761,0.062772624,0.29,0.29,0.12,0.14,0.65,0.22,74.17,2.42,0
1225,31.15869874,0.045727067,0.53,0.02,0.31,0.33,4.46,0.33,179.48,3.77,0
1226,31.20797675,0.099298951,0.44,0.48,0.21,0.06,1.1,0.29,0,0,0
1227,31.24203077,-0.129452765,0.46,0.35,0.25,0.09,0.19,0.19,0,0,1
1228,31.24237579,-0.11016159,2.12,0.32,2.65,0.3,0,0,1134.01,37.28,0
1229,31.26026463,0.489371958,0.04,0.25,0,0.44,0.02,0.14,2.36,0.28,0
1230,31.26682376,0.495799529,0.02,0.47,0.01,0.38,0.03,0.05,0,0,0
1231,31.26955289,0.064279303,0.67,0.14,0.19,0.29,0,0,0,0,0
1232,31.27786475,0.064277411,1.63,1.1,1.35,0.5,0,0,0,0,0
1233,31.29964957,-0.131462114,0.13,0.37,0.02,0.17,0.06,0.04,48.83,0.49,1
1234,31.3027423,-0.134010068,0.48,0.1,0.12,0.33,0.63,0.07,48.83,0.49,0
1235,31.30648205,-0.136195122,0.05,0.41,0.02,1.83,0.05,0.28,48.83,0.49,1
1236,31.31093153,0.531892904,0.09,0.09,0.04,0.24,0.04,0.1,0,0,1
1237,31.33080333,-0.158888004,0.22,0.37,0.06,0.28,0.16,0.12,13.02,0.47,0
1238,31.39427863,-0.258389021,4.46,0.22,1.98,0.32,0,0,1192.04,41.95,0
1239,31.40910293,0.308457799,0,0,0,0,0,0,0,0,0
1240,31.40911678,0.305022752,0.1,0.16,0,8,0,0,0,0,0
1241,31.4128379,0.047567004,0.28,0.37,0.13,0.32,0.31,0.21,24.38,0.51,0
1242,31.41372642,0.310076118,1.24,0.35,0.82,0.16,0,0,0,0,0
1243,31.42025795,-0.157968975,0.26,0.34,0.07,0.33,0.1,0.24,14.92,0.58,1
1244,31.42702291,-0.139810322,0.73,0.29,0.45,0.41,1.17,0.19,93.77,4.17,0
1245,31.4309394,0.288041834,0.29,0.2,0.19,0.3,1.92,0.29,0,0,0
1246,31.44630805,0.768070696,0.08,0.09,0.03,0.04,0.04,0.26,1.68,0.12,1
1247,31.47518294,-0.347116888,0.27,0.54,0.18,0.21,0.55,0.33,41.84,3.18,0
1248,31.5082403,-0.245358592,0.11,1.15,0,0,0.24,0.26,0,0,0
1249,31.55336099,-0.096795547,0.22,0.08,0.05,0.09,0.13,0.24,0.96,0.27,0
1250,31.55909602,-0.123263656,0.03,0.15,0.03,0.41,0.1,0.09,0,0,0
1251,31.56075128,0.376050928,0.61,0.1,0.27,0.37,1.8,0.26,81.86,2.58,0
1252,31.56666906,-0.270574412,1.46,0.18,0.4,0.53,1.05,0.16,92.58,3.73,0
1253,31.5745008,0.228474714,0.03,0.28,0.01,1.06,0.07,0.34,0,0,0
1254,31.57921796,0.075147204,0.86,0.66,0.33,0.11,2.15,0.92,648.16,15.69,0
1255,31.59186438,-0.192752252,0.77,0.03,0.22,0.23,0.14,0.26,58.8,2.52,0
1256,31.59262189,0.324217354,0.05,0.29,0.02,0.63,0.07,0.02,0,0,0
1257,31.59679626,-0.340714146,0.3,0.25,0.03,0.36,0.12,0.14,18.05,0.18,0
1258,31.59805641,-0.679970419,0.03,0.31,0.02,0.3,0.02,0.3,0,0,0
1259,31.61109698,0.090249162,0.05,0.26,0.07,0.26,0.08,0.33,0,0,0
1260,31.642863,-0.267028444,0.15,0.43,0.01,0.42,0.09,0.15,11.77,0.35,0
1261,31.66121624,0.366998186,1.11,0.04,0.94,0.5,6.33,0.07,79.59,4.13,0
1262,31.6746624,0.239424471,1.82,0.04,1.01,0.22,1.23,0.28,5.42,0.38,0
1263,31.68212741,-0.151829645,0.18,0.04,0.13,0.43,0.37,0.31,0,0,0
1264,31.72940938,0.700476915,0.22,0.44,0.15,0.34,0.38,0.59,11.54,0.66,0
1265,31.73778142,-0.182379511,0.42,0.92,0.12,1.41,0.32,0.54,0,0,0
1266,31.75678162,-0.782314243,0.07,0.17,0.02,0.71,0.03,0.53,0,0,0
1267,31.79008806,-0.305959526,0.7,0.18,0.3,0.36,0.5,0.37,0,0,0
1268,31.82063592,-0.113153494,0.22,0.08,0.12,0.62,-0.01,0,42.84,2.29,0
1269,31.82427522,-0.113379275,0.46,0.02,0.26,0.11,2.67,0.33,42.84,2.29,0
1270,31.8358804,-0.140841828,0.1,0.13,0.03,0.67,0.14,0.13,0,0,0
1271,31.83774072,-0.128719687,1.36,0.15,0.43,0.33,0.67,0.36,29.87,1.17,1
1272,31.8420179,-0.116447078,0.4,0.39,0.11,0.7,0.35,0.37,11.54,0.48,0
1273,31.91336826,0.195635525,6.74,0.02,2.78,0.03,4.6,0.24,0,0,0
1274,31.91596517,0.440003878,0.28,0.65,0.13,0.56,0.51,0.55,0,0,0
1275,31.94677428,0.065421096,0.2,0.12,0.06,0.59,0.14,0.35,0,0,0
1276,31.98534351,-0.557388898,6.86,0.1,2.53,0.28,0,0,0,0,0
1277,32.021994,0.066533466,1.65,0.14,0.54,0.47,2.97,0.33,0,0,0
1278,32.03020732,0.049879578,3.85,0.35,1.51,0.56,0,0,0,0,0
1279,32.06321702,0.80790111,0.05,0.2,0.03,0.37,0.05,0.29,1.78,0.06,0
1280,32.06817744,-0.089799599,0.32,0.7,0.07,0.64,0.39,0.37,31.09,1.4,0
1281,32.10483484,-0.372784276,0.32,0.24,0.15,0.82,0.08,0.97,0,0,0
1282,32.11265808,0.096554103,1.64,0.32,0.55,0.44,0,0,0,0,0
1283,32.11988437,0.090934665,1.35,0.09,0.15,0.11,0,0,286.38,10.1,0
1284,32.13136356,-0.091576667,0.44,0.36,0.12,0.41,0.33,0.31,27.87,0.85,1
1285,32.13397091,0.90223789,0.04,0.89,0.04,0.5,0.04,0.89,0,0,1
1286,32.1520191,0.131369542,5.8,0.55,0,0,0,0,0,0,0
1287,32.15373068,-0.278929738,0.57,0.27,0.22,0.68,0.26,0.49,0,0,0
1288,32.27117125,-0.226111453,2.5,0.27,1.98,0.38,0,0,221.1,11.57,0
1289,32.30573485,0.374077641,0.13,0.17,0.01,0.18,0.05,0.26,4.08,0.15,1
1290,32.31820651,-0.384156195,0.69,0.35,0.33,0.43,0.3,0.64,14.02,0.97,1
1291,32.32323692,0.780839606,0.04,0.29,0.03,0.32,0.04,0.46,0,0,0
1292,32.32746641,0.2558036,0.08,0.21,0.04,0.48,0.04,0.86,5.1,0.23,1
1293,32.40008716,-0.328267141,0.11,0.71,0.07,0.29,0.14,0.49,7.09,0.56,0
1294,32.40419271,0.162290035,0.27,0.14,0.08,0.34,1.42,0.3,27.27,1.07,0
1295,32.42236569,0.078306821,1.25,0.24,0.46,0.51,2.23,0.28,69.65,2.56,0
1296,32.4368631,0.416077649,0.26,0.12,0.1,0.01,0.1,0.52,8.42,0.33,0
1297,32.45818191,0.226066752,0.3,0.19,0.12,0.45,0.4,0.31,0,0,0
1298,32.45822771,0.385581835,0.67,0.24,0.27,0.68,0.64,0.41,12.11,1.33,0
1299,32.46353232,0.194109719,0.18,0.93,0.11,0.77,0,0,22.61,1.7,0
1300,32.46622382,0.200427319,0.36,0.22,0.06,0.44,0,0,0,0,0
1301,32.473514,0.205644478,0.73,0.95,0.68,0.96,0,0,205.35,11.83,0
1302,32.50756352,0.842581872,0.15,0.85,0.12,0.44,0.06,0.8,0,0,0
1303,32.57647732,-0.623062777,0.34,0.29,0.12,0.7,0.11,0.52,8.19,0.23,1
1304,32.57798664,0.41915333,0.06,0.34,0.03,0.75,0.05,0.51,2.89,0.21,0
1305,32.60104944,-0.251384074,3.01,0.2,1.23,0.31,3.77,0.25,86.57,2.6,1
1306,32.61053412,-0.240903175,1.46,0.3,0.56,0.55,2.16,0.23,0,0,0
1307,32.62680708,-0.101973384,0.26,0.25,0.09,0.19,0.12,0.39,14.71,0.44,1
1308,32.63243029,-0.130948811,0.19,0.25,0.06,0.53,0.13,0.74,0,0,1
1309,32.632485,-0.66207049,0.09,0.35,0.01,0.24,0.06,0.45,7.52,0.61,0
1310,32.64853003,-0.648559669,0.1,0.27,0.02,0.42,0.12,0.26,4.1,0.14,0
1311,32.69297207,0.046956598,0.27,0.27,0.06,0.61,0.28,0.31,9.42,0.48,0
1312,32.70323151,-0.056339293,0.11,0.25,0.01,0.86,0.26,0.04,0,0,0
1313,32.70956274,-0.062482775,1.22,0.18,0.45,0.36,1.53,0.17,0,0,0
